overall_rank,amfi_code,scheme_name,fund_house,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense_ratio,rank_max_dd,fund_score
11,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,4.061259859840338,-0.3566295075143679,5.074772999976104,0.55,-8.316361763638703,82.5,95.0,87.5,2.5,15.0,67.88
12,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,8.0060298597036,0.44843400890899143,17.50072167561127,1.53,-23.34488614483311,67.5,65.0,45.0,71.25,80.0,64.19
13,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,17.263014444437943,0.4942725378672354,13.042924450705446,1.59,-17.57361416468729,55.00000000000001,60.0,62.5,87.5,60.0,63.12
14,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.694394239074852,-0.08874729621557495,6.4556774953759986,0.6,-0.11629327956168556,75.0,85.0,80.0,7.5,5.0,61.38
15,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.242518737374208,0.3006119210425479,11.98910097121797,0.78,-21.11727956013212,65.0,67.5,65.0,25.0,72.5,60.38
16,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.03973982038829,0.4640374492204777,13.173190226099432,1.54,-14.844576917771747,52.5,62.5,60.0,76.25,40.0,58.81
17,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,25.549670172502026,0.6195175900829829,16.211256794033254,1.64,-21.539827112383225,32.5,55.00000000000001,52.5,98.75,75.0,56.31
18,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,20.8115598266319,0.1296144979566933,8.232801295222094,0.75,-21.751396370148225,40.0,72.5,70.0,20.0,77.5,54.88
19,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.392538786263403,0.49572339295331147,6.746210411099539,0.74,-0.09773140045925555,72.5,57.49999999999999,77.5,17.5,2.5,54.5
20,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,18.417429266835228,0.6488787755249532,16.25385327998104,1.41,-19.82565826298267,50.0,50.0,50.0,47.5,67.5,51.38
21,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.744434832760533,0.9262873467360146,20.873010086942337,1.52,-15.27259422823477,60.0,37.5,35.0,66.25,47.5,49.06
22,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,13.974980348212673,0.7979728586052847,17.703302365844074,1.42,-13.897862823061635,62.5,42.5,42.5,50.0,35.0,48.88
23,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,19.662361245910965,0.8170993373494371,17.048756803412697,1.57,-10.85986215250232,45.0,40.0,47.5,85.0,17.5,47.5
24,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21.084691029380597,0.6452074382933216,15.643835948169668,0.72,-18.62974313859551,37.5,52.5,55.00000000000001,13.750000000000002,65.0,43.94
25,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,20.00321571698329,0.664856998549062,15.136354648239239,0.89,-11.650624505409091,42.5,47.5,57.49999999999999,32.5,25.0,43.5
26,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18.429918008610045,0.7757902498211209,17.729754927531765,0.92,-15.200013055606398,47.5,45.0,40.0,35.0,45.0,43.25
27,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,16.263375081360643,0.9532794968660105,19.86859936686296,0.66,-11.803493502764296,57.49999999999999,30.0,37.5,10.0,27.500000000000004,36.5
28,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,22.646647456747715,1.0816591793457044,21.829397904608644,1.51,-17.41407508665723,35.0,20.0,27.500000000000004,61.25000000000001,57.49999999999999,35.94
29,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,26.99350260734621,0.9497958246616032,30.05787817097677,1.52,-31.171900300634213,25.0,32.5,5.0,66.25,92.5,35.81
30,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.863103668817146,1.1321218524747247,26.598577542043046,1.61,-17.24810575345138,27.500000000000004,15.0,20.0,95.0,55.00000000000001,35.75
31,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,26.66309129954312,0.9453082575156094,30.336965386983323,1.43,-28.706005721764548,30.0,35.0,2.5,52.5,90.0,35.12
32,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,28.960211096593724,1.0272133278753697,21.399784776051213,1.6,-11.291596329323072,22.5,22.5,30.0,91.25,22.5,34.31
33,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,29.17135767741186,1.2349300257743299,28.27036785246582,1.6,-16.39674294693263,20.0,7.5,10.0,91.25,52.5,28.81
34,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,30.448613060027817,1.208266567372718,23.201007160635083,1.54,-15.012385498645331,15.0,10.0,25.0,76.25,42.5,27.69
35,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,35.10252788903541,0.9982309868636414,26.07666908004223,1.38,-20.960883862039193,2.5,27.500000000000004,22.5,42.5,70.0,25.5
36,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,32.478927222623,1.0265242847993001,21.19482701352573,0.8,-12.588275606922517,7.5,25.0,32.5,30.0,30.0,22.5
37,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,32.43397122906222,1.0936987435346308,27.19535450128533,1.38,-16.217208574644847,10.0,17.5,15.0,42.5,50.0,21.75
38,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,29.57511058901836,1.3067439695428407,27.330465038306055,1.45,-12.97396816518679,17.5,5.0,12.5,55.00000000000001,32.5,20.5
39,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,31.769242852237323,1.1801011976606492,29.26358334175106,1.36,-18.188513572116292,12.5,12.5,7.5,37.5,62.5,20.25
40,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,33.991970400445304,1.4482911703262602,26.98375144191807,1.46,-11.265729075028275,5.0,2.5,17.5,57.49999999999999,20.0,16.25
